,日期,券商代號,券商,股票代號,股票,買進張數,賣出張數,差額
0,2022-07-04,1020,合庫,1102,亞泥,1617.0,45.0,1572.0
1,2022-07-04,1020,合庫,1402,遠東新,1432.0,6.0,1426.0
2,2022-07-04,1020,合庫,1303,南亞,497.0,7.0,490.0
3,2022-07-04,1020,合庫,4551,智伸科,195.0,3.0,192.0
4,2022-07-04,1020,合庫,2324,仁寶,164.0,0.0,164.0
5,2022-07-04,1020,合庫,0717,富邦美國特別股,135.0,1.0,134.0
6,2022-07-04,1020,合庫,0897,富邦基因免疫生技,300.0,189.0,111.0
7,2022-07-04,1020,合庫,2915,潤泰全,96.0,1.0,95.0
8,2022-07-04,1020,合庫,2885,元大金,96.0,2.0,94.0
9,2022-07-04,1020,合庫,2106,建大,82.0,3.0,79.0
10,2022-07-04,1020,合庫,3711,日月光投控,72.0,2.0,70.0
11,2022-07-04,1020,合庫,6279,胡連,80.0,12.0,68.0
12,2022-07-04,1020,合庫,6147,頎邦,62.0,0.0,62.0
13,2022-07-04,1020,合庫,0056,元大高股息,73.0,13.0,60.0
14,2022-07-04,1020,合庫,0701,國泰股利精選,195.0,135.0,60.0
15,2022-07-04,1020,合庫,0900,富邦特選高股息,205.0,148.0,57.0
16,2022-07-04,1020,合庫,2404,漢唐,52.0,0.0,52.0
17,2022-07-04,1020,合庫,0620,富邦上証,80.0,35.0,45.0
18,2022-07-04,1020,合庫,1723,中碳,40.0,1.0,39.0
19,2022-07-04,1020,合庫,2888,新光金,59.0,22.0,37.0
20,2022-07-04,1020,合庫,3052,夆典,37.0,0.0,37.0
21,2022-07-04,1020,合庫,2634,漢翔,52.0,16.0,36.0
22,2022-07-04,1020,合庫,0050,元大台灣,42.0,6.0,36.0
23,2022-07-04,1020,合庫,2609,陽明,95.0,59.0,36.0
24,2022-07-04,1020,合庫,0637,元大滬深正,36.0,4.0,32.0
25,2022-07-04,1020,合庫,3036,文曄,30.0,0.0,30.0
26,2022-07-04,1020,合庫,4406,新昕纖,30.0,0.0,30.0
27,2022-07-04,1020,合庫,2891,中信金,36.0,6.0,30.0
28,2022-07-04,1020,合庫,2444,兆勁,26.0,1.0,25.0
29,2022-07-04,1020,合庫,3481,群創,70.0,45.0,25.0
30,2022-07-04,1020,合庫,6239,力成,135.0,110.0,25.0
31,2022-07-04,1020,合庫,6235,華孚,30.0,6.0,24.0
32,2022-07-04,1020,合庫,0673,期元大原油反,25.0,3.0,22.0
33,2022-07-04,1020,合庫,4915,致伸,36.0,14.0,22.0
34,2022-07-04,1020,合庫,0882,中信中國高股息,21.0,0.0,21.0
35,2022-07-04,1020,合庫,1809,中釉,21.0,0.0,21.0
36,2022-07-04,1020,合庫,2881,富邦金,21.0,1.0,20.0
37,2022-07-04,1020,合庫,9921,巨大,21.0,1.0,20.0
38,2022-07-04,1020,合庫,0641,富邦日本反,20.0,0.0,20.0
39,2022-07-04,1020,合庫,6116,彩晶,23.0,4.0,19.0
40,2022-07-04,1020,合庫,3045,台灣大,21.0,3.0,18.0
41,2022-07-04,1020,合庫,3706,神達,20.0,2.0,18.0
42,2022-07-04,1020,合庫,3005,神基,16.0,0.0,16.0
43,2022-07-04,1020,合庫,3532,台勝科,19.0,3.0,16.0
44,2022-07-04,1020,合庫,3552,同致,16.0,1.0,15.0
45,2022-07-04,1020,合庫,6026,福邦證,14.0,0.0,14.0
46,2022-07-04,1020,合庫,1611,中電,22.0,8.0,14.0
47,2022-07-04,1020,合庫,6223,旺矽,13.0,0.0,13.0
48,2022-07-04,1020,合庫,0655,國泰中國正,12.0,0.0,12.0
49,2022-07-04,1020,合庫,2368,金像電,18.0,6.0,12.0
50,2022-07-04,1020,合庫,0881,國泰台灣,388.0,2376.0,-1988.0
51,2022-07-04,1020,合庫,0892,富邦台灣半導體,214.0,1464.0,-1250.0
52,2022-07-04,1020,合庫,2409,友達,49.0,1261.0,-1212.0
